id	property rights	amount of money
1	1	
2	1	
3	1	
4	1	
5	1	
6	1	
7	1	
8	1	
9	1	
10	1	
11	1	
12	1	
13	1	
14	1	
15	1	
16	1	
17	1	
18	1	
19	1	
20	1	
21	1	
22	1	
23	1	
24	1	
25	1	
26	1	
27	1	
28	1	
29	1	
30	1	
31	1	
32	1	
33	1	
34	1	
35	1	
36	1	
37	1	
38	1	
39	1	
40	1	
41	1	
42	1	
43	1	
44	1	
45	1	
46	1	
47	1	
48	1	
49	1	
50	1	
51	0.5	
52	0.5	
53	0.5	
54	0.5	
55	0.5	
56	0.5	
57	0.5	
58	0.5	
59	0.5	
60	0.5	
61	0.5	
62	0.5	
63	0.5	
64	0.5	
65	0.5	
66	0.5	
67	0.5	
68	0.5	
69	0.5	
70	0.5	
71	0.5	
72	0.5	
73	0.5	
74	0.5	
75	0.5	
76	1.5	
77	1.5	
78	1.5	
79	1.5	
80	1.5	
81	1.5	
82	1.5	
83	1.5	
84	1.5	
85	1.5	
86	1.5	
87	1.5	
88	1.5	
89	1.5	
90	1.5	
91	1.5	
92	1.5	
93	1.5	
94	1.5	
95	1.5	
96	1.5	
97	1.5	
98	1.5	
99	1.5	
100	1.5	
